	Alive_mice	Unborn_mice
0	100	0
1	100	0
2	100	0
3	100	0
4	100	0
5	100	0
6	100	0
7	100	0
8	100	0
9	100	0
10	100	0
11	100	0
12	100	0
13	100	0
14	100	0
15	100	0
16	100	0
17	100	0
18	100	0
19	100	0
20	100	0
21	100	0
22	100	0
23	100	0
24	100	0
25	100	0
26	100	0
27	100	0
28	100	0
29	100	0
30	100	0
31	100	0
32	100	0
33	100	0
34	100	0
35	100	0
36	100	0
37	100	0
38	100	0
39	100	0
40	100	0
41	100	0
42	100	0
43	100	0
44	100	0
45	100	0
46	100	0
47	100	0
48	100	0
49	100	0
50	100	0
51	100	0
52	100	0
53	100	0
54	100	0
55	100	0
56	100	0
57	100	0
58	100	0
59	100	0
60	99	0
61	99	0
62	99	0
63	99	0
64	99	0
65	99	0
66	99	0
67	98	0
68	98	0
69	98	0
70	98	0
71	98	0
72	98	0
73	98	0
74	98	0
75	98	0
76	98	0
77	98	0
78	98	0
79	96	0
80	96	0
81	96	0
82	96	0
83	96	0
84	95	0
85	95	0
86	95	0
87	95	0
88	95	0
89	95	0
90	95	0
91	95	0
92	95	0
93	95	0
94	95	0
95	95	0
96	95	0
97	95	0
98	95	0
99	95	0
100	95	0
101	95	0
102	95	0
103	95	0
104	95	0
105	95	0
106	95	0
107	95	0
108	95	0
109	95	0
110	95	0
111	94	0
112	94	0
113	94	0
114	94	0
115	94	0
116	93	0
117	93	0
118	93	0
119	93	0
120	93	0
121	93	0
122	93	0
123	91	0
124	90	0
125	90	0
126	90	0
127	89	0
128	88	0
129	88	0
130	87	0
131	87	0
132	87	0
133	87	0
134	87	0
135	87	0
136	87	0
137	87	0
138	87	0
139	87	0
140	87	0
141	87	0
142	87	0
143	87	0
144	87	0
145	87	0
146	87	0
147	86	0
148	86	0
149	86	0
150	85	0
151	85	0
152	85	0
153	85	0
154	85	0
155	85	0
156	85	0
157	85	0
158	85	0
159	84	0
160	84	0
161	83	0
162	83	0
163	83	0
164	83	0
165	83	0
166	82	0
167	81	0
168	80	0
169	79	0
170	79	0
171	79	0
172	78	0
173	78	0
174	78	0
175	78	0
176	78	0
177	78	0
178	78	0
179	78	0
180	78	0
181	77	0
182	77	0
183	77	0
184	77	0
185	77	0
186	75	0
187	75	0
188	74	0
189	74	0
190	74	0
191	73	0
192	73	0
193	73	0
194	73	0
195	73	0
196	72	0
197	72	0
198	72	0
199	72	0
200	71	71
201	71	71
202	71	71
203	71	71
204	70	70
205	70	70
206	69	69
207	69	69
208	69	69
209	69	69
210	69	69
211	69	69
212	69	69
213	69	69
214	69	69
215	68	68
216	68	68
217	68	68
218	68	68
219	68	68
220	68	68
221	67	67
222	67	67
223	67	67
224	67	67
225	67	67
226	67	67
227	67	67
228	67	67
229	67	67
230	67	67
231	67	67
232	67	67
233	66	66
234	66	66
235	66	66
236	66	66
237	66	66
238	66	66
239	66	66
240	65	65
241	64	64
242	64	64
243	64	64
244	64	64
245	64	64
246	64	64
247	64	64
248	64	64
249	63	63
250	63	63
251	63	63
252	63	63
253	63	63
254	62	62
255	61	61
256	60	60
257	58	58
258	57	57
259	56	56
260	56	56
261	56	56
262	55	55
263	55	55
264	55	55
265	55	55
266	55	55
267	54	54
268	53	53
269	53	53
270	52	52
271	50	50
272	50	50
273	50	50
274	48	48
275	48	48
276	48	48
277	48	48
278	47	47
279	47	47
280	46	46
281	46	46
282	45	45
283	45	45
284	45	45
285	43	43
286	43	43
287	43	43
288	43	43
289	43	43
290	43	43
291	42	42
292	41	41
293	41	41
294	40	40
295	40	40
296	39	39
297	38	38
298	38	38
299	38	38
300	37	37
301	37	37
302	37	37
303	37	37
304	37	37
305	36	36
306	35	35
307	35	35
308	35	35
309	34	34
310	33	33
311	33	33
312	33	33
313	33	33
314	33	33
315	30	30
316	29	29
317	29	29
318	29	29
319	27	27
320	27	27
321	27	27
322	27	27
323	28	26
324	28	27
325	28	27
326	28	27
327	28	27
328	28	27
329	28	27
330	28	27
331	29	26
332	29	27
333	29	27
334	27	25
335	27	25
336	27	25
337	26	24
338	25	23
339	25	23
340	25	23
341	25	23
342	25	23
343	25	23
344	25	23
345	25	21
346	22	19
347	22	19
348	22	19
349	22	19
350	21	18
351	21	18
352	21	18
353	21	18
354	21	18
355	20	17
356	19	16
357	19	16
358	19	16
359	20	15
360	20	16
361	20	16
362	19	15
363	19	15
364	19	15
365	19	15
366	18	14
367	18	14
368	18	14
369	18	14
370	18	14
371	17	13
372	17	13
373	17	13
374	17	13
375	17	13
376	17	13
377	16	12
378	16	12
379	15	11
380	15	11
381	16	10
382	16	11
383	15	10
384	15	10
385	15	10
386	15	10
387	14	9
388	14	9
389	14	9
390	14	9
391	15	8
392	15	9
393	15	9
394	15	9
395	16	8
396	16	9
397	16	9
398	16	9
399	16	9
400	16	9
401	16	9
402	16	9
403	15	8
404	15	8
405	15	8
406	15	8
407	15	8
408	15	8
409	15	8
410	14	7
411	14	7
412	14	7
413	15	6
414	15	7
415	15	7
416	15	7
417	15	7
418	15	7
419	16	6
420	16	7
421	16	7
422	16	7
423	16	7
424	16	7
425	16	7
426	16	7
427	16	7
428	16	7
429	16	7
430	16	7
431	16	7
432	16	7
433	16	7
434	16	7
435	16	7
436	16	7
437	16	7
438	16	7
439	17	6
440	17	7
441	16	7
442	16	7
443	15	6
444	15	6
445	15	6
446	14	5
447	14	5
448	14	5
449	14	5
450	14	5
451	14	5
452	14	5
453	14	5
454	14	5
455	14	5
456	14	5
457	14	5
458	14	5
459	14	5
460	14	5
461	14	5
462	14	5
463	14	5
464	14	5
465	14	5
466	14	5
467	14	5
468	14	5
469	14	5
470	14	5
471	14	5
472	14	5
473	14	5
474	13	5
475	13	5
476	13	5
477	13	5
478	13	5
479	13	5
480	13	5
481	13	5
482	13	5
483	13	5
484	13	5
485	12	4
486	12	4
487	12	4
488	12	4
489	12	4
490	12	4
491	13	3
492	13	4
493	13	4
494	13	4
495	13	4
496	13	4
497	13	4
498	13	4
499	13	4
500	13	4
501	13	4
502	13	4
503	13	4
504	13	4
505	13	4
506	13	4
507	13	4
508	13	4
509	13	4
510	13	4
511	13	4
512	13	4
513	13	4
514	13	4
515	13	4
516	13	4
517	13	4
518	12	3
519	12	3
520	12	3
521	12	3
522	12	3
523	12	3
524	12	4
525	12	4
526	12	4
527	12	4
528	12	4
529	12	4
530	12	4
531	12	4
532	12	5
533	12	5
534	12	5
535	11	4
536	11	4
537	11	4
538	11	4
539	11	4
540	11	4
541	11	4
542	11	4
543	11	4
544	10	3
545	10	3
546	10	4
547	10	4
548	10	4
549	10	4
550	10	4
551	10	4
552	10	4
553	10	4
554	10	4
555	10	4
556	10	4
557	10	4
558	10	4
559	10	4
560	10	4
561	10	4
562	10	4
563	10	4
564	10	4
565	10	4
566	10	4
567	10	4
568	10	4
569	10	4
570	10	4
571	10	4
572	10	4
573	10	4
574	10	4
575	10	4
576	10	4
577	10	4
578	10	4
579	10	4
580	10	4
581	10	4
582	10	4
583	10	4
584	10	4
585	10	4
586	10	4
587	10	4
588	10	4
589	10	4
590	10	4
591	10	4
592	10	5
593	10	5
594	10	5
595	10	5
596	10	6
597	10	6
598	10	6
599	10	6
600	10	6
601	10	6
602	10	6
603	10	6
604	10	6
605	10	6
606	10	6
607	10	6
608	10	6
609	10	6
610	10	6
611	10	6
612	10	6
613	10	6
614	10	7
615	10	7
616	10	7
617	10	7
618	10	7
619	10	7
620	10	8
621	10	8
622	10	8
623	10	8
624	10	8
625	10	8
626	10	8
627	11	7
628	11	8
629	11	8
630	11	8
631	11	8
632	11	8
633	11	8
634	11	8
635	11	8
636	11	8
637	11	8
638	11	8
639	11	8
640	11	9
641	11	9
642	11	9
643	11	9
644	11	9
645	11	9
646	11	9
647	12	8
648	12	9
649	12	9
650	12	9
651	12	9
652	12	9
653	12	9
654	12	9
655	12	9
656	12	9
657	12	9
658	12	9
659	12	9
660	12	9
661	12	9
662	12	9
663	13	8
664	13	9
665	13	9
666	13	9
667	13	9
668	13	9
669	13	9
670	13	9
671	13	9
672	13	9
673	13	9
674	13	9
675	13	9
676	13	9
677	13	9
678	13	9
679	13	9
680	13	9
681	13	9
682	13	9
683	13	9
684	13	9
685	13	9
686	13	9
687	13	9
688	13	9
689	13	9
690	13	9
691	14	8
692	14	10
693	14	10
694	14	10
695	14	10
696	14	10
697	14	10
698	14	10
699	14	10
700	14	10
701	13	9
702	13	9
703	13	9
704	13	9
705	13	9
706	13	9
707	13	9
708	13	9
709	13	9
710	13	9
711	13	9
712	13	9
713	13	9
714	13	9
715	13	9
716	13	9
717	13	9
718	13	9
719	13	9
720	13	9
721	13	9
722	13	9
723	13	9
724	13	9
725	13	9
726	13	9
727	13	9
728	13	9
729	13	9
730	13	9
731	13	9
732	13	9
733	13	9
734	13	9
735	13	9
736	12	9
737	12	9
738	12	9
739	12	9
740	12	9
741	12	9
742	12	9
743	11	9
744	11	9
745	11	9
746	11	9
747	11	9
748	11	9
749	11	9
750	10	8
751	10	8
752	10	8
753	10	8
754	10	8
755	10	8
756	10	8
757	10	8
758	10	8
759	10	8
760	10	8
761	9	7
762	9	7
763	9	7
764	9	7
765	9	7
766	9	7
767	9	7
768	9	7
769	9	7
770	9	7
771	8	6
772	8	6
773	8	6
774	8	6
775	8	6
776	8	6
777	8	6
778	8	6
779	8	6
780	8	6
781	8	6
782	8	6
783	8	6
784	8	6
785	8	6
786	8	6
787	8	6
788	8	6
789	8	6
790	8	6
791	9	5
792	9	6
793	9	6
794	9	6
795	9	6
796	9	6
797	9	6
798	9	6
799	9	6
800	9	6
801	9	6
802	9	6
803	9	6
804	9	6
805	9	6
806	9	6
807	9	6
808	9	6
809	9	6
810	9	6
811	9	6
812	9	6
813	9	6
814	9	6
815	9	6
816	9	6
817	9	6
818	9	6
819	9	6
820	9	6
821	9	6
822	9	6
823	9	6
824	9	6
825	9	6
826	9	6
827	10	5
828	10	6
829	10	6
830	10	6
831	10	6
832	10	6
833	10	6
834	10	6
835	10	6
836	10	6
837	11	3
838	11	5
839	12	4
840	12	5
841	12	5
842	12	5
843	12	5
844	12	5
845	12	5
846	12	5
847	12	5
848	12	6
849	12	6
850	12	6
851	12	6
852	12	6
853	12	6
854	11	5
855	11	5
856	11	5
857	11	5
858	11	5
859	11	5
860	10	4
861	10	4
862	10	4
863	9	3
864	9	4
865	9	4
866	9	4
867	9	4
868	9	4
869	9	4
870	9	4
871	9	4
872	9	4
873	9	4
874	9	4
875	9	4
876	9	4
877	9	4
878	9	4
879	9	4
880	9	4
881	9	4
882	9	4
883	9	4
884	9	4
885	9	4
886	9	4
887	9	4
888	9	4
889	9	4
890	9	4
891	9	4
892	9	4
893	9	4
894	9	4
895	9	4
896	9	4
897	9	4
898	9	4
899	9	4
900	9	4
901	9	4
902	9	4
903	9	4
904	9	4
905	9	4
906	9	4
907	9	4
908	9	4
909	9	4
910	9	4
911	9	4
912	9	4
913	9	4
914	9	4
915	9	4
916	9	4
917	9	4
918	9	4
919	9	4
920	9	4
921	9	4
922	9	4
923	9	4
924	9	4
925	9	4
926	9	4
927	8	4
928	8	4
929	8	4
930	8	4
931	8	4
932	8	4
933	8	4
934	8	4
935	8	4
936	8	4
937	8	4
938	8	4
939	8	4
940	8	4
941	8	4
942	8	4
943	8	4
944	8	4
945	8	4
946	8	4
947	8	4
948	8	4
949	8	4
950	8	4
951	8	4
952	8	4
953	8	4
954	8	4
955	8	4
956	7	3
957	7	3
958	6	2
959	6	2
960	6	2
961	6	2
962	6	2
963	6	2
964	6	2
965	5	1
966	5	1
967	5	1
968	5	1
969	5	1
970	5	1
971	5	1
972	5	1
973	5	1
974	5	1
975	5	1
976	5	1
977	5	1
978	5	1
979	5	1
980	5	1
981	5	1
982	5	1
983	6	0
984	6	1
985	6	1
986	6	1
987	6	1
988	6	1
989	6	1
990	6	1
991	6	1
992	6	2
993	6	2
994	6	2
995	6	2
996	6	2
997	6	2
998	6	2
999	6	2
1000	6	2
1001	6	2
1002	6	2
1003	6	2
1004	6	2
1005	6	2
1006	6	2
1007	6	2
1008	6	2
1009	6	2
1010	6	2
1011	6	2
1012	6	2
1013	6	2
1014	6	2
1015	6	2
1016	6	2
1017	6	2
1018	6	2
1019	6	2
