[[0, nan, 0, nan], [((0, 1), 0.0), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [0, 0, 100], 60]]
[[94, 3.0, 6, 15.666666666666666], [((0, 2), 0.0), [0, 0, 100], 60]]
[[44, 16.886363636363637, 55, 14.745454545454546], [((0, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[43, 15.581395348837209, 56, 16.75], [((0, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[23, 18.521739130434781, 75, 7.8933333333333335], [((0, 2), 2.356194490192345), [0, 0, 100], 60]]
[[96, 3.0, 4, 28.25], [((0, 2), 3.141592653589793), [0, 0, 100], 60]]
[[48, 11.3125, 52, 17.865384615384617], [((0, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[98, 2.0306122448979593, 2, 28.5], [((0, 2), 4.71238898038469), [0, 0, 100], 60]]
[[39, 11.282051282051283, 61, 20.459016393442624], [((0, 2), 5.497787143782138), [0, 0, 100], 60]]
[[62, 3.0806451612903225, 38, 19.789473684210527], [((0, 3), 0.0), [0, 0, 100], 60]]
[[50, 19.859999999999999, 48, 17.333333333333332], [((0, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[20, 18.600000000000001, 80, 8.1500000000000004], [((0, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[35, 17.885714285714286, 64, 10.390625], [((0, 3), 2.356194490192345), [0, 0, 100], 60]]
[[70, 3.2000000000000002, 30, 27.533333333333335], [((0, 3), 3.141592653589793), [0, 0, 100], 60]]
[[61, 6.7049180327868854, 39, 26.487179487179485], [((0, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[63, 3.0, 37, 14.54054054054054], [((0, 3), 4.71238898038469), [0, 0, 100], 60]]
[[51, 7.0392156862745097, 49, 25.367346938775512], [((0, 3), 5.497787143782138), [0, 0, 100], 60]]
[[83, 3.9879518072289155, 17, 20.647058823529413], [((0, 4), 0.0), [0, 0, 100], 60]]
[[53, 14.433962264150944, 47, 22.446808510638299], [((0, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[12, 23.583333333333332, 88, 5.9772727272727275], [((0, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[41, 17.73170731707317, 57, 12.807017543859649], [((0, 4), 2.356194490192345), [0, 0, 100], 60]]
[[80, 4.0125000000000002, 20, 16.850000000000001], [((0, 4), 3.141592653589793), [0, 0, 100], 60]]
[[51, 10.294117647058824, 49, 21.73469387755102], [((0, 4), 3.9269908169872414), [0, 0, 100], 60]]
