[[93, 20.053763440860216, 0, nan], [((1, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[24, 45.833333333333336, 0, nan], [((1, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[91, 21.846153846153847, 0, nan], [((1, 4), 2.356194490192345), [0, 0, 100], 60]]
[[27, 46.518518518518519, 0, nan], [((1, 4), 3.141592653589793), [0, 0, 100], 60]]
[[89, 24.325842696629213, 0, nan], [((1, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[33, 46.939393939393938, 0, nan], [((1, 4), 4.71238898038469), [0, 0, 100], 60]]
[[84, 21.976190476190474, 0, nan], [((1, 4), 5.497787143782138), [0, 0, 100], 60]]
[[30, 46.366666666666667, 0, nan], [((1, 5), 0.0), [0, 0, 100], 60]]
[[91, 20.692307692307693, 0, nan], [((1, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[26, 45.0, 0, nan], [((1, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[89, 20.95505617977528, 0, nan], [((1, 5), 2.356194490192345), [0, 0, 100], 60]]
[[28, 46.75, 0, nan], [((1, 5), 3.141592653589793), [0, 0, 100], 60]]
[[89, 25.662921348314608, 0, nan], [((1, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[25, 48.159999999999997, 0, nan], [((1, 5), 4.71238898038469), [0, 0, 100], 60]]
[[86, 24.790697674418606, 0, nan], [((1, 5), 5.497787143782138), [0, 0, 100], 60]]
[[29, 45.482758620689658, 0, nan], [((2, 2), 0.0), [0, 0, 100], 60]]
[[93, 21.870967741935484, 0, nan], [((2, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[26, 46.115384615384613, 0, nan], [((2, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[90, 22.422222222222221, 0, nan], [((2, 2), 2.356194490192345), [0, 0, 100], 60]]
[[32, 47.4375, 0, nan], [((2, 2), 3.141592653589793), [0, 0, 100], 60]]
[[94, 23.606382978723403, 0, nan], [((2, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[27, 47.074074074074076, 0, nan], [((2, 2), 4.71238898038469), [0, 0, 100], 60]]
[[90, 23.088888888888889, 0, nan], [((2, 2), 5.497787143782138), [0, 0, 100], 60]]
[[27, 46.0, 0, nan], [((2, 3), 0.0), [0, 0, 100], 60]]
[[94, 22.021276595744681, 0, nan], [((2, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[28, 46.357142857142854, 0, nan], [((2, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[88, 23.75, 0, nan], [((2, 3), 2.356194490192345), [0, 0, 100], 60]]
[[29, 47.206896551724135, 0, nan], [((2, 3), 3.141592653589793), [0, 0, 100], 60]]
[[85, 23.988235294117647, 0, nan], [((2, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[30, 46.166666666666664, 0, nan], [((2, 3), 4.71238898038469), [0, 0, 100], 60]]
[[85, 22.141176470588235, 0, nan], [((2, 3), 5.497787143782138), [0, 0, 100], 60]]
[[32, 46.6875, 0, nan], [((2, 4), 0.0), [0, 0, 100], 60]]
[[91, 21.010989010989011, 0, nan], [((2, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[28, 45.964285714285715, 0, nan], [((2, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[96, 21.59375, 0, nan], [((2, 4), 2.356194490192345), [0, 0, 100], 60]]
[[24, 46.291666666666664, 0, nan], [((2, 4), 3.141592653589793), [0, 0, 100], 60]]
[[94, 23.5, 0, nan], [((2, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[27, 46.444444444444443, 0, nan], [((2, 4), 4.71238898038469), [0, 0, 100], 60]]
[[89, 24.370786516853933, 0, nan], [((2, 4), 5.497787143782138), [0, 0, 100], 60]]
[[24, 45.791666666666664, 0, nan], [((2, 5), 0.0), [0, 0, 100], 60]]
[[89, 19.393258426966291, 0, nan], [((2, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[27, 45.370370370370374, 0, nan], [((2, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[95, 22.684210526315791, 0, nan], [((2, 5), 2.356194490192345), [0, 0, 100], 60]]
[[33, 46.969696969696969, 0, nan], [((2, 5), 3.141592653589793), [0, 0, 100], 60]]
[[93, 24.344086021505376, 0, nan], [((2, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[26, 47.346153846153847, 0, nan], [((2, 5), 4.71238898038469), [0, 0, 100], 60]]
[[88, 24.306818181818183, 0, nan], [((2, 5), 5.497787143782138), [0, 0, 100], 60]]
[[25, 45.520000000000003, 0, nan], [((3, 3), 0.0), [0, 0, 100], 60]]
[[88, 18.443181818181817, 0, nan], [((3, 3), 0.7853981633974483), [0, 0, 100], 60]]
