	Alive_mice	Unborn_mice
0	600	0
1	600	0
2	600	0
3	600	0
4	600	0
5	600	0
6	600	0
7	600	0
8	600	0
9	600	0
10	600	0
11	600	0
12	600	0
13	600	0
14	600	0
15	600	0
16	600	0
17	600	0
18	600	0
19	600	0
20	600	0
21	600	0
22	600	0
23	600	0
24	600	0
25	600	0
26	600	0
27	600	0
28	600	0
29	600	0
30	600	0
31	600	0
32	600	0
33	600	0
34	600	0
35	600	0
36	600	0
37	600	0
38	600	0
39	600	0
40	600	0
41	600	0
42	600	0
43	600	0
44	600	0
45	600	0
46	600	0
47	600	0
48	600	0
49	599	0
50	598	0
51	596	0
52	595	0
53	593	0
54	592	0
55	590	0
56	585	0
57	584	0
58	584	0
59	582	0
60	582	0
61	582	0
62	580	0
63	579	0
64	577	0
65	576	0
66	575	0
67	575	0
68	574	0
69	570	0
70	567	0
71	566	0
72	565	0
73	565	0
74	564	0
75	562	0
76	560	0
77	558	0
78	557	0
79	557	0
80	556	0
81	554	0
82	553	0
83	552	0
84	552	0
85	551	0
86	549	0
87	549	0
88	547	0
89	546	0
90	545	0
91	545	0
92	545	0
93	545	0
94	543	0
95	541	0
96	538	0
97	535	0
98	535	0
99	535	0
100	534	0
101	534	0
102	534	0
103	531	0
104	530	0
105	529	0
106	525	0
107	524	0
108	523	0
109	522	0
110	522	0
111	520	0
112	518	0
113	517	0
114	517	0
115	516	0
116	516	0
117	516	0
118	515	0
119	514	0
120	513	0
121	513	0
122	510	0
123	509	0
124	508	0
125	507	0
126	507	0
127	506	0
128	503	0
129	503	0
130	502	0
131	499	0
132	498	0
133	498	0
134	495	0
135	495	0
136	492	0
137	491	0
138	491	0
139	490	0
140	489	0
141	489	0
142	484	0
143	482	0
144	481	0
145	481	0
146	480	0
147	478	0
148	478	0
149	478	0
150	475	0
151	474	0
152	473	0
153	472	0
154	470	0
155	470	0
156	469	0
157	468	0
158	468	0
159	465	0
160	462	0
161	460	0
162	460	0
163	459	0
164	458	0
165	457	0
166	456	0
167	455	0
168	452	0
169	451	0
170	448	0
171	448	0
172	448	0
173	445	0
174	445	0
175	441	0
176	441	0
177	439	0
178	439	0
179	438	0
180	437	0
181	437	0
182	434	0
183	433	0
184	431	0
185	429	0
186	427	0
187	425	0
188	424	0
189	423	0
190	420	0
191	420	0
192	418	0
193	416	0
194	413	0
195	413	0
196	412	0
197	412	0
198	409	0
199	409	0
200	406	406
201	403	403
202	399	399
203	399	399
204	398	398
205	394	394
206	391	391
207	389	389
208	389	389
209	387	387
210	385	385
211	384	384
212	383	383
213	381	381
214	381	381
215	379	379
216	378	378
217	378	378
218	378	378
219	375	375
220	375	375
221	372	372
222	369	369
223	367	367
224	366	366
225	364	364
226	363	363
227	359	359
228	358	358
229	356	356
230	355	355
231	352	352
232	352	352
233	350	350
234	347	347
235	346	346
236	344	344
237	342	342
238	339	339
239	339	339
240	336	336
241	336	336
242	335	335
243	334	334
244	334	334
245	333	333
246	328	328
247	327	327
248	326	326
249	322	322
250	321	321
251	320	320
252	318	318
253	316	316
254	313	313
255	313	313
256	313	313
257	311	311
258	308	308
259	306	306
260	302	302
261	299	299
262	299	299
263	299	299
264	298	298
265	297	297
266	297	297
267	294	294
268	291	291
269	291	291
270	290	290
271	290	290
272	290	290
273	290	290
274	289	289
275	287	287
276	287	287
277	287	287
278	282	282
279	279	279
280	276	276
281	273	273
282	272	272
283	271	271
284	269	269
285	268	268
286	268	268
287	265	265
288	264	264
289	260	260
290	258	258
291	254	254
292	252	252
293	251	251
294	250	250
295	250	250
296	249	249
297	246	246
298	244	244
299	244	242
300	241	240
301	243	238
302	243	240
303	243	236
304	240	235
305	241	230
306	239	231
307	241	225
308	241	229
309	240	226
310	239	226
311	239	222
312	235	220
313	236	217
314	235	218
315	232	215
316	232	215
317	231	212
318	228	210
319	223	203
320	221	202
321	220	201
322	218	199
323	221	196
324	220	198
325	219	195
326	217	194
327	217	192
328	213	189
329	213	185
330	213	187
331	213	185
332	209	182
333	212	179
334	212	182
335	216	176
336	216	181
337	217	178
338	217	180
339	217	178
340	214	176
341	211	171
342	210	171
343	212	169
344	210	169
345	212	165
346	211	167
347	209	159
348	208	161
349	208	159
350	208	160
351	207	155
352	206	156
353	206	154
354	206	155
355	206	153
356	205	153
357	205	153
358	205	153
359	204	152
360	202	150
361	204	148
362	204	150
363	202	148
364	201	147
365	197	143
366	197	143
367	196	142
368	195	141
369	195	141
370	195	141
371	193	139
372	192	138
373	192	136
374	191	136
375	193	134
376	191	134
377	192	127
378	191	130
379	191	126
380	189	126
381	189	124
382	189	125
383	189	121
384	187	121
385	188	120
386	188	121
387	189	116
388	188	118
389	187	117
390	186	116
391	186	116
392	186	116
393	187	115
394	187	116
395	186	115
396	185	114
397	186	113
398	186	114
399	186	110
400	185	112
401	184	111
402	183	110
403	186	107
404	184	108
405	186	104
406	181	102
407	183	100
408	182	101
409	184	97
410	181	97
411	181	95
412	180	95
413	180	91
414	179	92
415	180	89
416	180	91
417	181	90
418	181	91
419	180	90
420	179	89
421	180	88
422	177	86
423	176	84
424	176	85
425	175	84
426	174	83
427	175	81
428	174	82
429	174	78
430	173	80
431	174	79
432	173	79
433	172	79
434	170	77
435	171	76
436	169	75
437	170	72
438	170	74
439	170	74
440	169	73
441	169	73
442	167	72
443	162	67
444	162	67
445	164	65
446	163	67
447	164	66
448	161	64
449	161	64
450	161	64
451	160	63
452	158	62
453	155	60
454	154	59
455	155	58
456	154	58
457	154	56
458	151	54
459	152	53
460	150	52
461	149	52
462	149	52
463	148	51
464	148	51
465	150	49
466	150	51
467	154	47
468	154	51
469	155	50
470	153	50
471	153	50
472	152	49
473	151	46
474	150	47
475	149	46
476	148	45
477	148	45
478	148	45
479	149	44
480	149	45
481	149	45
482	149	45
483	149	43
484	149	44
485	149	42
486	149	43
487	151	41
488	150	42
