AgentID	Genome	motor_NN_on	learning_on
Mouse_1186	[ 1.    0.44  0.9   0.06  0.83]	False	False
Mouse_1188	[ 0.61  0.44  0.03  0.1   0.73]	False	False
Mouse_119	[ 0.45  0.65  0.4   0.41  0.  ]	False	False
Mouse_1190	[ 0.76  0.49  0.7   0.8   0.28]	True	True
Mouse_1191	[ 0.72  0.    0.3   0.    0.94]	True	True
Mouse_1192	[ 0.33  0.5   0.57  0.1   0.78]	True	True
Mouse_1194	[ 0.18  0.11  0.69  0.82  0.42]	True	True
Mouse_1198	[ 0.46  0.42  0.49  0.69  0.86]	False	False
Mouse_12	[ 0.46  0.84  0.96  0.62  0.02]	False	False
Mouse_120	[ 0.33  0.91  0.16  0.2   0.3 ]	False	False
Mouse_1200	[ 0.56  0.    1.    0.22  0.04]	True	True
Mouse_1201	[ 0.82  0.02  0.29  0.1   0.18]	True	True
Mouse_1202	[ 0.06  0.55  0.95  0.68  0.23]	True	True
Mouse_1203	[ 0.33  0.    0.69  0.36  0.85]	True	True
Mouse_1204	[ 0.2   0.55  0.66  0.86  0.62]	True	True
Mouse_1205	[ 0.13  0.03  0.43  0.26  0.41]	False	False
Mouse_1207	[ 0.06  0.57  0.6   0.41  0.08]	True	True
Mouse_1208	[ 0.63  0.04  0.52  0.05  0.42]	True	True
Mouse_121	[ 0.7   0.05  0.38  0.25  0.25]	False	False
Mouse_1210	[ 0.06  0.04  0.03  0.47  0.71]	True	True
Mouse_1212	[ 0.74  0.59  0.51  0.06  0.11]	True	True
Mouse_1219	[ 0.17  0.09  0.68  0.4   0.64]	True	True
Mouse_122	[ 0.21  0.15  0.08  0.56  0.93]	False	False
Mouse_1220	[ 0.88  0.68  0.21  0.26  0.97]	False	False
Mouse_1224	[ 0.06  0.74  0.37  0.47  0.71]	True	True
Mouse_1225	[ 0.    0.14  0.16  0.53  0.79]	True	True
Mouse_1227	[ 0.59  0.15  0.59  1.    0.77]	True	True
Mouse_123	[ 0.75  0.37  0.31  0.4   0.27]	False	False
Mouse_1231	[ 0.68  0.83  0.79  0.66  0.  ]	False	False
Mouse_1234	[ 0.28  0.17  0.87  0.27  0.83]	True	True
Mouse_1239	[ 0.63  0.85  0.62  0.63  0.67]	False	False
Mouse_124	[ 0.94  0.54  0.84  0.76  0.74]	False	False
Mouse_1242	[ 0.1   0.18  0.34  0.97  0.34]	True	True
Mouse_1244	[ 0.18  0.2   0.83  0.11  0.08]	True	True
Mouse_1247	[ 0.13  0.21  0.36  0.47  0.68]	True	True
Mouse_1248	[ 0.41  0.93  0.66  0.68  0.9 ]	True	True
Mouse_125	[ 0.47  0.25  0.2   0.97  0.32]	False	False
Mouse_1251	[ 0.21  0.22  0.34  1.    0.75]	True	True
Mouse_1252	[ 0.15  0.94  0.34  0.27  0.77]	True	True
Mouse_1256	[ 0.5   0.23  0.21  0.81  0.16]	True	True
Mouse_1258	[ 0.6   0.24  0.14  0.46  0.22]	True	True
Mouse_126	[ 0.5   0.92  0.38  0.74  0.05]	False	False
Mouse_1265	[ 0.18  0.11  0.79  0.82  0.42]	True	True
Mouse_1268	[ 0.33  0.    0.69  0.46  0.85]	True	True
Mouse_127	[ 0.62  0.9   0.91  0.25  0.92]	False	False
Mouse_1270	[ 0.17  0.28  0.29  0.51  0.83]	True	True
Mouse_1271	[ 0.82  0.02  0.29  0.1   0.18]	True	True
Mouse_1272	[ 0.17  0.28  0.29  0.51  0.83]	True	True
Mouse_1275	[ 0.06  0.04  0.03  0.47  0.71]	True	True
Mouse_128	[ 0.59  0.83  0.81  0.49  0.34]	False	False
Mouse_1280	[ 0.38  0.38  0.63  0.77  0.13]	True	True
Mouse_1281	[ 0.17  0.19  0.78  0.4   0.74]	True	True
Mouse_1283	[ 0.18  0.39  0.01  0.18  0.2 ]	True	True
Mouse_1284	[ 0.43  0.5   0.64  0.45  0.01]	False	False
Mouse_1288	[ 1.    0.44  0.9   0.06  0.83]	False	False
Mouse_1289	[ 0.61  0.44  0.03  0.    0.73]	False	False
Mouse_129	[ 0.28  0.61  0.03  1.    0.52]	False	False
Mouse_1290	[ 0.    0.14  0.16  0.53  0.79]	True	True
Mouse_1293	[ 0.72  0.    0.3   0.1   0.94]	True	True
Mouse_1297	[ 0.18  0.11  0.79  0.82  0.42]	True	True
Mouse_1299	[ 0.33  0.    0.69  0.46  0.85]	True	True
Mouse_13	[ 0.28  0.57  0.44  0.33  0.49]	False	False
Mouse_130	[ 0.44  0.93  0.78  0.11  0.44]	False	False
Mouse_1302	[ 0.97  0.03  0.    0.07  0.46]	True	True
Mouse_1303	[ 0.97  0.04  0.95  0.81  0.08]	False	False
Mouse_1304	[ 0.53  0.04  0.52  0.05  0.42]	True	True
Mouse_1309	[ 0.13  0.21  0.36  0.47  0.68]	True	True
Mouse_131	[ 0.54  0.35  0.74  0.9   0.29]	False	False
Mouse_1311	[ 0.7   0.07  0.66  0.    0.12]	False	False
Mouse_1316	[ 0.18  0.1   0.34  0.48  0.53]	True	True
Mouse_1318	[ 0.48  0.12  0.24  0.23  0.71]	False	False
Mouse_132	[ 0.32  0.72  0.56  0.38  0.8 ]	False	False
Mouse_1320	[ 0.48  0.15  0.05  0.84  0.75]	True	True
Mouse_1329	[ 0.17  0.19  0.78  0.4   0.74]	True	True
Mouse_133	[ 0.46  0.42  0.49  0.69  0.86]	False	False
Mouse_1338	[ 0.72  0.    0.3   0.    0.94]	True	True
Mouse_1339	[ 0.72  0.    0.3   0.1   0.94]	True	True
Mouse_134	[ 0.65  0.47  0.22  0.42  0.31]	False	False
Mouse_135	[ 0.06  0.03  0.29  0.26  0.77]	False	False
Mouse_136	[ 0.88  0.68  0.21  0.26  0.97]	False	False
Mouse_137	[ 0.3   0.29  0.73  0.77  0.36]	False	False
Mouse_138	[ 0.57  0.87  0.43  0.34  0.25]	False	False
Mouse_139	[ 0.72  0.32  0.52  0.33  0.42]	False	False
Mouse_14	[ 0.01  0.5   0.68  0.5   0.72]	False	False
Mouse_140	[ 0.68  0.46  0.64  0.98  0.97]	False	False
Mouse_141	[ 0.31  0.75  0.64  0.7   0.52]	False	False
Mouse_142	[ 0.33  0.8   0.33  0.54  0.77]	False	False
Mouse_143	[ 0.48  0.76  0.88  0.78  0.84]	False	False
Mouse_144	[ 0.25  0.67  0.85  0.76  0.03]	False	False
Mouse_145	[ 0.34  0.96  0.52  0.6   0.9 ]	False	False
Mouse_146	[ 0.46  0.45  0.9   0.95  0.7 ]	False	False
Mouse_147	[ 0.09  0.92  0.94  0.06  0.26]	False	False
Mouse_148	[ 0.77  0.3   0.76  0.27  0.02]	False	False
Mouse_149	[ 0.66  0.47  0.45  0.81  0.63]	False	False
Mouse_15	[ 0.22  0.75  0.43  0.55  0.07]	False	False
Mouse_150	[ 0.58  0.27  0.09  0.47  0.57]	False	False
Mouse_151	[ 0.9   0.67  0.38  0.72  0.03]	False	False
Mouse_152	[ 0.33  0.21  0.81  0.12  0.23]	False	False
Mouse_153	[ 0.68  0.94  0.22  0.05  0.45]	False	False
Mouse_154	[ 0.25  0.18  0.3   0.92  0.41]	False	False
Mouse_155	[ 0.61  0.84  0.62  0.99  0.48]	False	False
Mouse_156	[ 0.88  0.87  0.75  0.05  0.89]	False	False
Mouse_157	[ 0.43  0.    0.42  0.59  1.  ]	False	False
Mouse_158	[ 0.52  0.56  0.33  0.62  0.27]	False	False
Mouse_159	[ 0.58  0.53  0.44  0.48  0.71]	False	False
Mouse_16	[ 0.97  1.    0.45  0.16  0.43]	False	False
Mouse_160	[ 0.5   0.86  0.55  0.13  0.32]	False	False
Mouse_161	[ 0.53  0.68  0.75  0.76  0.66]	False	False
Mouse_162	[ 0.    0.29  0.99  0.19  0.45]	False	False
Mouse_163	[ 0.25  0.95  0.28  0.11  0.52]	False	False
Mouse_164	[ 0.98  0.42  0.52  0.75  0.73]	False	False
Mouse_165	[ 0.63  0.58  0.7   0.83  0.94]	False	False
Mouse_166	[ 0.56  0.88  0.01  0.31  0.09]	False	False
Mouse_167	[ 0.48  1.    0.2   0.95  0.55]	False	False
Mouse_168	[ 0.99  0.19  0.03  0.87  0.58]	False	False
Mouse_169	[ 0.67  0.42  0.39  0.92  0.53]	False	False
Mouse_17	[ 0.3   0.18  0.75  0.03  0.37]	False	False
Mouse_170	[ 0.62  0.8   0.92  0.12  0.15]	False	False
Mouse_171	[ 0.31  0.45  0.7   0.47  0.52]	False	False
Mouse_172	[ 0.2   0.92  0.78  0.61  0.95]	False	False
Mouse_173	[ 0.21  0.26  0.4   0.12  0.63]	False	False
Mouse_174	[ 0.25  0.11  0.17  0.26  0.16]	False	False
Mouse_175	[ 0.52  0.14  0.16  0.16  0.77]	False	False
Mouse_176	[ 0.6   0.13  0.59  0.03  0.45]	False	False
Mouse_177	[ 0.32  0.98  0.37  0.02  0.01]	False	False
Mouse_178	[ 0.26  0.89  0.26  0.73  0.81]	False	False
Mouse_179	[ 0.62  0.82  0.95  0.86  0.75]	False	False
Mouse_18	[ 0.33  0.17  0.02  0.16  0.49]	False	False
Mouse_180	[ 0.87  0.26  0.91  0.18  0.69]	False	False
Mouse_181	[ 0.89  0.04  0.01  0.14  0.98]	False	False
Mouse_182	[ 0.48  0.83  0.95  0.38  0.08]	False	False
Mouse_183	[ 0.09  0.82  0.56  0.11  0.49]	False	False
Mouse_184	[ 0.02  0.46  0.96  0.39  0.7 ]	False	False
Mouse_185	[ 0.94  0.91  0.01  0.89  0.72]	False	False
Mouse_186	[ 0.7   0.87  0.31  0.79  0.47]	False	False
Mouse_187	[ 0.44  0.34  0.25  0.52  0.42]	False	False
Mouse_188	[ 0.85  0.4   0.42  0.3   0.91]	False	False
Mouse_189	[ 0.11  0.6   0.92  0.76  0.68]	False	False
Mouse_19	[ 0.48  0.12  0.24  0.23  0.71]	False	False
Mouse_190	[ 0.12  0.77  0.36  0.93  0.82]	False	False
Mouse_191	[ 0.68  0.83  0.69  0.66  0.  ]	False	False
Mouse_192	[ 0.08  0.87  0.07  0.9   0.2 ]	False	False
Mouse_193	[ 0.42  0.82  0.65  0.82  0.17]	False	False
Mouse_194	[ 0.8   0.99  0.04  0.76  0.3 ]	False	False
Mouse_195	[ 0.4   0.51  0.04  0.85  0.8 ]	False	False
Mouse_196	[ 0.4   0.55  0.69  0.32  0.48]	False	False
Mouse_197	[ 0.09  0.76  0.99  0.71  0.74]	False	False
Mouse_198	[ 0.19  0.04  0.93  0.46  0.24]	False	False
Mouse_199	[ 0.77  0.38  0.12  0.07  0.95]	False	False
Mouse_2	[ 0.54  0.61  0.9   0.01  0.76]	False	False
Mouse_20	[ 0.77  0.34  0.76  0.92  0.53]	False	False
Mouse_200	[ 0.98  0.31  0.87  0.36  0.42]	False	False
Mouse_201	[ 0.15  0.46  0.01  0.51  0.26]	True	True
Mouse_202	[ 0.85  0.53  0.66  0.96  0.31]	True	True
Mouse_203	[ 0.06  0.19  0.42  0.97  0.71]	True	True
Mouse_204	[ 0.    0.64  0.72  0.32  0.86]	True	True
Mouse_205	[ 0.28  0.17  0.77  0.27  0.83]	True	True
Mouse_206	[ 0.95  0.65  0.34  0.23  0.16]	True	True
Mouse_207	[ 0.13  0.08  0.1   0.27  0.01]	True	True
Mouse_208	[ 0.04  1.    0.7   0.87  0.71]	True	True
Mouse_209	[ 0.71  0.09  0.39  0.64  0.28]	True	True
Mouse_21	[ 0.75  0.82  0.62  0.84  0.15]	False	False
Mouse_210	[ 0.15  0.6   0.74  0.77  0.85]	True	True
Mouse_211	[ 0.02  0.7   0.61  0.22  0.28]	True	True
Mouse_212	[ 0.17  0.49  0.93  0.27  0.13]	True	True
Mouse_213	[ 0.35  0.23  0.44  0.23  0.7 ]	True	True
Mouse_214	[ 0.62  0.85  0.66  0.44  0.64]	True	True
