	Alive_mice	Unborn_mice
0	200	0
1	200	0
2	200	0
3	200	0
4	200	0
5	200	0
6	200	0
7	200	0
8	200	0
9	200	0
10	200	0
11	200	0
12	200	0
13	200	0
14	200	0
15	200	0
16	200	0
17	200	0
18	200	0
19	200	0
20	200	0
21	200	0
22	200	0
23	200	0
24	200	0
25	200	0
26	200	0
27	200	0
28	200	0
29	200	0
30	200	0
31	200	0
32	200	0
33	200	0
34	200	0
35	200	0
36	200	0
37	200	0
38	200	0
39	200	0
40	200	0
41	200	0
42	200	0
43	200	0
44	200	0
45	200	0
46	200	0
47	200	0
48	200	0
49	200	0
50	200	0
51	200	0
52	200	0
53	200	0
54	200	0
55	199	0
56	199	0
57	198	0
58	197	0
59	195	0
60	194	0
61	194	0
62	194	0
63	193	0
64	193	0
65	193	0
66	192	0
67	192	0
68	192	0
69	192	0
70	192	0
71	192	0
72	192	0
73	192	0
74	192	0
75	192	0
76	191	0
77	190	0
78	190	0
79	190	0
80	189	0
81	189	0
82	189	0
83	189	0
84	188	0
85	188	0
86	188	0
87	188	0
88	187	0
89	187	0
90	186	0
91	185	0
92	184	0
93	184	0
94	184	0
95	184	0
96	184	0
97	184	0
98	184	0
99	184	0
100	184	0
101	184	0
102	183	0
103	182	0
104	182	0
105	180	0
106	179	0
107	179	0
108	178	0
109	178	0
110	178	0
111	177	0
112	177	0
113	177	0
114	177	0
115	177	0
116	177	0
117	177	0
118	177	0
119	177	0
120	177	0
121	176	0
122	175	0
123	175	0
124	175	0
125	175	0
126	175	0
127	174	0
128	174	0
129	173	0
130	173	0
131	173	0
132	173	0
133	173	0
134	173	0
135	173	0
136	173	0
137	173	0
138	171	0
139	170	0
140	170	0
141	170	0
142	170	0
143	170	0
144	169	0
145	169	0
146	168	0
147	167	0
148	167	0
149	165	0
150	165	0
151	165	0
152	165	0
153	165	0
154	165	0
155	164	0
156	164	0
157	164	0
158	164	0
159	164	0
160	164	0
161	164	0
162	163	0
163	162	0
164	162	0
165	161	0
166	161	0
167	161	0
168	161	0
169	161	0
170	159	0
171	159	0
172	159	0
173	159	0
174	158	0
175	158	0
176	157	0
177	157	0
178	157	0
179	156	0
180	155	0
181	155	0
182	153	0
183	153	0
184	153	0
185	153	0
186	152	0
187	152	0
188	152	0
189	150	0
190	150	0
191	150	0
192	150	0
193	150	0
194	149	0
195	149	0
196	148	0
197	148	0
198	147	0
199	147	0
200	147	147
201	147	147
202	147	147
203	147	147
204	146	146
205	144	144
206	144	144
207	142	142
208	142	142
209	142	142
210	139	139
211	138	138
212	138	138
213	136	136
214	136	136
215	136	136
216	135	135
217	134	134
218	134	134
219	134	134
220	132	132
221	132	132
222	132	132
223	130	130
224	129	129
225	129	129
226	129	129
227	128	128
228	127	127
229	126	126
230	125	125
231	123	123
232	123	123
233	122	122
234	121	121
235	119	119
236	118	118
237	118	118
238	117	117
239	117	117
240	115	115
241	114	114
242	112	112
243	111	111
244	111	111
245	111	111
246	111	111
247	110	110
248	110	110
249	108	108
250	108	108
251	107	107
252	106	106
253	105	105
254	105	105
255	105	105
256	105	105
257	102	102
258	102	102
259	102	102
260	101	101
261	100	100
262	99	99
263	98	98
264	98	98
265	98	98
266	98	98
267	96	96
268	96	96
269	95	95
270	94	94
271	94	94
272	94	94
273	94	94
274	94	94
275	94	94
276	94	94
277	93	93
278	92	92
279	92	92
280	91	91
281	91	91
282	90	90
283	90	90
284	90	90
285	89	89
286	89	89
287	88	88
288	87	87
289	86	86
290	86	86
291	84	84
292	84	84
293	82	82
294	81	81
295	81	81
296	80	80
297	80	80
298	80	80
299	78	78
300	76	76
301	76	74
302	74	73
303	75	72
304	74	72
305	74	72
306	74	72
307	74	72
308	72	70
309	75	65
310	74	68
311	75	65
312	75	67
313	76	66
314	75	66
315	74	65
316	73	64
317	74	63
318	74	64
319	73	63
320	73	63
321	72	60
322	72	61
323	71	58
324	70	58
325	70	58
326	70	58
327	71	57
328	70	57
329	70	57
330	70	57
331	70	57
332	69	56
333	69	54
334	69	55
335	68	52
336	68	53
337	68	53
338	68	53
339	67	52
340	67	52
341	66	51
342	66	51
343	66	51
344	65	50
345	62	47
346	62	47
347	62	47
348	61	46
349	60	43
350	60	44
351	59	43
352	59	43
353	59	41
354	59	42
355	59	42
356	59	42
357	62	39
358	62	42
359	60	40
360	60	40
361	60	40
362	60	40
363	59	39
364	59	39
365	59	39
366	58	38
367	58	36
368	57	36
369	57	34
370	56	34
371	55	33
372	54	32
373	54	32
374	54	32
375	54	32
376	54	32
377	55	31
378	55	32
379	56	31
380	56	32
381	57	31
382	57	32
383	58	31
384	58	32
385	57	31
386	57	31
387	57	31
388	57	31
389	56	30
390	56	30
391	53	28
392	53	28
393	54	27
394	54	28
395	54	28
396	53	27
397	52	26
398	52	26
399	52	26
400	52	26
401	51	25
402	51	25
403	51	25
404	51	25
405	51	25
406	51	25
407	51	25
408	51	25
409	51	25
410	50	24
411	50	24
412	49	23
413	49	23
414	47	21
415	47	21
416	47	21
417	47	21
418	47	21
419	47	20
420	47	21
421	48	20
422	48	21
423	48	21
424	47	20
425	47	20
426	47	20
427	47	18
428	47	19
429	47	19
430	47	19
431	47	19
432	46	18
433	46	18
434	46	18
435	47	17
436	46	17
437	45	16
438	45	16
439	45	16
440	45	16
441	44	15
442	43	14
