	Alive_mice	Unborn_mice
0	100	0
1	100	0
2	100	0
3	100	0
4	100	0
5	100	0
6	100	0
7	100	0
8	100	0
9	100	0
10	100	0
11	100	0
12	100	0
13	100	0
14	100	0
15	100	0
16	100	0
17	100	0
18	100	0
19	100	0
20	100	0
21	100	0
22	100	0
23	100	0
24	100	0
25	100	0
26	100	0
27	100	0
28	100	0
29	100	0
30	100	0
31	100	0
32	100	0
33	100	0
34	100	0
35	100	0
36	100	0
37	100	0
38	100	0
39	100	0
40	100	0
41	100	0
42	100	0
43	100	0
44	100	0
45	100	0
46	100	0
47	100	0
48	100	0
49	100	0
50	100	0
51	100	0
52	100	0
53	99	0
54	99	0
55	99	0
56	98	0
57	98	0
58	98	0
59	98	0
60	98	0
61	98	0
62	98	0
63	98	0
64	98	0
65	98	0
66	98	0
67	98	0
68	98	0
69	98	0
70	98	0
71	98	0
72	98	0
73	97	0
74	97	0
75	96	0
76	96	0
77	96	0
78	96	0
79	96	0
80	96	0
81	96	0
82	96	0
83	96	0
84	96	0
85	96	0
86	95	0
87	95	0
88	95	0
89	95	0
90	95	0
91	94	0
92	94	0
93	94	0
94	94	0
95	94	0
96	94	0
97	94	0
98	94	0
99	93	0
100	92	0
101	92	0
102	92	0
103	92	0
104	91	0
105	91	0
106	91	0
107	90	0
108	90	0
109	89	0
110	88	0
111	86	0
112	86	0
113	86	0
114	86	0
115	86	0
116	86	0
117	86	0
118	86	0
119	86	0
120	86	0
121	86	0
122	86	0
123	86	0
124	86	0
125	86	0
126	86	0
127	86	0
128	86	0
129	86	0
130	86	0
131	86	0
132	86	0
133	86	0
134	86	0
135	86	0
136	86	0
137	85	0
138	85	0
139	85	0
140	85	0
141	85	0
142	85	0
143	85	0
144	85	0
145	85	0
146	85	0
147	85	0
148	85	0
149	85	0
150	85	0
151	84	0
152	84	0
153	84	0
154	84	0
155	84	0
156	84	0
157	84	0
158	84	0
159	84	0
160	83	0
161	83	0
162	83	0
163	83	0
164	83	0
165	83	0
166	83	0
167	83	0
168	82	0
169	81	0
170	81	0
171	81	0
172	80	0
173	79	0
174	79	0
175	79	0
176	78	0
177	78	0
178	78	0
179	77	0
180	77	0
181	77	0
182	77	0
183	77	0
184	77	0
185	77	0
186	76	0
187	76	0
188	75	0
189	74	0
190	74	0
191	74	0
192	74	0
193	74	0
194	74	0
195	74	0
196	74	0
197	74	0
198	74	0
199	74	0
200	74	74
201	73	73
202	73	73
203	73	73
204	72	72
205	72	72
206	71	71
207	70	70
208	70	70
209	70	70
210	70	70
211	70	70
212	69	69
213	68	68
214	68	68
215	68	68
216	68	68
217	68	68
218	68	68
219	68	68
220	68	68
221	68	68
222	67	67
223	66	66
224	66	66
225	66	66
226	66	66
227	66	66
228	66	66
229	65	65
230	64	64
231	64	64
232	64	64
233	64	64
234	64	64
235	63	63
236	63	63
237	62	62
238	62	62
239	61	61
240	61	61
241	61	61
242	61	61
243	60	60
244	60	60
245	60	60
246	60	60
247	60	60
248	60	60
249	59	59
250	58	58
251	57	57
252	56	56
253	56	56
254	56	56
255	56	56
256	55	55
257	55	55
258	55	55
259	55	55
260	55	55
261	55	55
262	55	55
263	55	55
264	55	55
265	54	54
266	54	54
267	54	54
268	53	53
269	53	53
270	53	53
271	53	53
272	53	53
273	53	53
274	52	52
275	52	52
276	52	52
277	52	52
278	52	52
279	52	52
280	52	52
281	52	52
282	52	52
283	52	52
284	52	52
285	52	52
286	52	52
287	50	50
288	49	49
289	49	49
290	49	49
291	48	48
292	47	47
293	46	46
294	45	45
295	45	45
296	45	45
297	43	43
298	43	43
299	43	43
300	43	43
301	42	42
302	41	41
303	42	40
304	42	41
305	42	41
306	42	41
307	43	40
308	43	41
309	43	41
310	43	41
311	45	39
312	45	41
313	45	41
314	45	41
315	43	39
316	41	37
317	42	36
318	41	36
319	39	34
320	39	34
321	39	34
322	38	33
323	36	31
324	36	31
325	36	31
326	36	31
327	35	30
328	34	29
329	35	28
330	35	29
331	35	29
332	35	29
333	36	28
334	36	29
335	36	29
336	36	29
337	35	28
338	35	28
339	36	27
340	36	28
341	35	27
342	35	27
343	33	25
344	33	25
345	32	24
346	32	24
347	31	23
348	30	22
349	29	21
350	29	21
351	29	21
352	29	21
353	29	21
354	29	21
355	28	20
356	27	19
357	28	18
358	28	19
359	28	17
360	28	18
361	28	18
362	28	18
363	27	17
364	26	16
365	27	15
366	27	16
367	28	15
368	28	16
369	28	16
370	28	16
371	28	16
372	28	16
373	28	16
374	28	16
375	28	16
376	28	16
377	28	16
378	28	16
379	28	16
380	28	16
381	28	16
382	28	16
383	28	16
384	28	16
385	28	16
386	28	16
387	28	16
388	26	14
389	26	14
390	25	13
391	25	13
392	25	13
393	25	13
394	25	13
395	24	12
396	24	12
397	24	12
398	23	11
399	23	11
400	23	11
401	23	11
402	23	11
403	23	11
404	22	10
405	22	10
406	22	10
407	23	9
408	23	10
409	22	9
410	22	9
411	22	9
412	22	9
413	22	9
414	22	9
415	22	9
416	22	9
417	22	9
418	22	9
419	22	9
420	22	9
421	22	9
422	22	9
423	22	9
424	22	9
425	22	9
426	21	8
427	21	8
428	21	8
429	21	8
430	20	8
431	20	8
432	20	8
433	20	8
434	20	8
435	20	8
436	20	8
437	21	7
438	21	8
439	20	7
440	20	7
441	21	6
442	21	7
443	21	7
444	21	7
445	21	7
446	21	7
447	22	6
448	22	7
449	22	7
450	22	7
451	22	7
452	22	7
453	22	7
454	22	7
455	22	7
456	22	7
457	21	6
458	21	6
459	21	6
460	21	6
461	21	6
462	21	6
463	21	6
464	21	6
465	21	6
466	21	6
467	21	6
468	21	6
469	21	6
470	21	6
471	21	6
472	21	6
473	21	6
474	21	6
475	22	5
476	22	6
477	22	6
478	22	6
479	21	5
480	21	5
481	20	4
482	20	4
483	20	4
484	20	4
485	20	4
486	19	3
487	19	3
488	19	3
489	19	3
490	19	3
491	19	3
492	19	3
493	19	3
494	19	3
495	19	3
496	19	3
497	19	3
498	19	3
499	19	3
500	19	3
501	19	3
502	19	3
503	19	3
504	19	4
505	19	4
506	19	4
507	19	4
508	19	5
509	19	5
510	19	5
511	19	5
512	19	7
513	19	7
514	19	7
515	19	7
516	19	7
517	19	7
518	19	8
519	19	8
520	19	8
521	18	7
522	18	7
523	18	7
524	18	7
525	18	7
526	18	7
527	18	7
528	18	7
529	18	7
530	18	8
531	18	8
532	18	8
533	18	8
534	18	9
535	17	8
536	17	8
537	17	8
538	17	8
539	17	8
540	17	8
541	17	8
542	17	8
543	16	7
544	16	7
545	16	7
546	16	7
547	16	7
548	16	7
549	16	7
550	16	7
551	16	7
552	16	7
553	16	7
554	16	7
555	16	7
556	16	7
557	16	7
558	16	8
559	16	8
560	16	9
561	15	9
562	15	9
563	15	9
564	15	9
565	15	9
566	15	10
567	15	10
568	15	11
569	15	11
570	15	11
571	15	11
572	15	11
573	15	11
574	15	11
575	14	10
576	14	10
577	14	10
578	14	10
579	14	10
580	14	10
581	14	10
582	14	10
583	14	10
584	14	10
585	14	10
586	14	10
587	14	10
588	14	10
589	14	10
590	14	10
591	14	10
592	14	10
593	14	10
594	14	10
595	13	9
596	13	9
597	13	9
598	13	9
599	13	9
600	13	9
601	13	9
602	13	9
603	13	9
604	13	9
605	13	9
606	13	9
607	14	8
608	14	10
609	14	10
610	14	10
611	14	10
612	14	10
613	14	10
614	14	10
615	15	9
616	15	10
617	15	10
618	15	10
619	15	10
620	15	10
621	15	10
622	15	10
623	16	9
624	16	10
625	16	10
626	16	10
627	16	10
628	16	10
629	16	10
630	15	9
631	15	9
632	15	9
633	15	9
634	15	9
635	15	9
636	15	9
637	15	9
638	15	10
639	15	10
640	14	9
641	14	9
642	14	10
643	14	10
644	14	10
645	14	10
646	14	10
647	14	10
648	14	10
649	14	10
650	14	10
651	14	10
652	14	10
653	14	10
654	14	10
655	15	9
656	15	10
657	15	10
658	15	10
659	15	10
660	15	10
661	15	10
662	15	10
663	15	10
664	15	10
665	15	10
666	15	10
667	15	10
668	15	10
669	15	10
670	15	10
671	15	10
672	15	10
673	15	10
674	14	9
675	14	9
676	14	10
677	14	10
678	14	10
679	14	10
680	14	10
681	14	10
682	14	10
683	14	10
684	14	10
685	14	10
686	14	10
687	14	10
688	14	10
689	14	10
690	14	10
691	14	10
692	13	9
693	13	9
694	12	8
695	12	8
696	12	8
697	12	8
698	12	8
699	12	8
700	12	8
701	12	8
702	12	8
703	12	8
704	12	8
705	11	8
706	11	8
707	11	8
708	11	8
709	9	6
710	9	6
711	8	5
712	8	5
713	8	5
714	8	5
715	8	5
716	8	5
717	8	5
718	8	5
719	9	4
720	9	5
721	9	5
722	9	5
723	10	4
724	10	5
725	10	5
726	10	5
727	10	5
728	10	5
729	10	5
730	10	5
731	10	5
732	9	4
733	9	4
734	9	4
735	9	4
736	9	4
737	9	4
738	9	4
739	9	4
740	9	4
741	9	4
742	9	4
743	9	4
744	9	4
745	9	4
746	9	4
747	9	4
748	9	4
749	9	4
750	9	4
751	9	4
752	9	4
753	9	4
754	9	4
755	9	4
756	9	4
757	9	4
758	9	4
759	9	4
760	9	4
761	9	4
762	9	4
763	9	4
764	9	4
765	9	4
766	9	4
767	9	4
768	9	4
769	9	4
770	9	4
771	9	4
772	9	4
773	9	4
774	8	3
775	8	3
776	8	3
777	8	3
778	8	3
779	8	3
780	8	3
781	8	3
782	8	3
783	8	3
784	8	3
785	8	3
786	8	3
787	8	3
788	8	3
789	8	3
790	8	3
791	8	3
792	8	3
793	8	3
794	8	3
795	8	3
796	8	3
797	8	3
798	8	3
799	8	3
800	8	3
801	8	3
802	8	3
803	8	3
804	8	3
805	8	3
806	8	3
807	8	3
808	8	4
809	8	4
810	8	4
811	7	3
812	7	3
813	7	3
814	7	3
815	7	3
816	7	4
817	7	4
818	7	4
819	7	4
820	7	4
821	7	4
822	7	4
823	7	4
824	6	4
825	6	4
826	6	4
827	6	4
828	6	4
829	6	4
830	6	4
831	6	4
832	6	4
833	6	4
834	6	4
835	6	4
836	6	4
837	6	4
838	6	4
839	6	4
840	6	4
841	6	4
842	6	4
843	6	4
844	6	4
845	5	3
846	5	3
847	5	3
848	5	3
849	5	3
850	5	3
851	5	3
852	5	3
853	5	3
854	5	3
855	5	3
856	5	3
857	5	3
858	5	3
859	5	3
860	5	3
861	5	3
862	5	3
863	5	3
864	5	3
865	5	3
866	5	3
867	5	3
868	5	3
869	5	3
870	5	3
871	5	3
872	5	3
873	5	3
874	5	3
875	5	3
876	5	3
877	5	3
878	5	3
879	5	3
880	5	3
881	5	3
882	5	3
883	5	3
884	5	3
885	5	3
886	5	3
887	5	3
888	5	3
889	5	3
890	5	3
891	5	3
892	5	3
893	5	3
894	5	3
895	5	3
896	5	3
897	5	3
898	5	3
899	5	3
900	5	3
901	5	3
902	5	3
903	5	3
904	4	2
905	4	2
906	4	2
907	4	2
908	4	2
909	4	2
910	4	2
911	5	1
912	5	2
913	5	2
914	5	2
915	5	2
916	5	2
917	5	2
918	5	2
919	5	2
920	5	3
921	5	3
922	5	3
923	5	3
924	5	4
925	5	4
926	5	4
927	5	4
928	5	4
929	5	4
930	5	4
931	5	4
932	5	4
933	5	4
934	5	4
935	6	3
936	6	4
937	6	4
938	6	4
939	6	4
940	6	4
941	6	4
942	6	4
943	6	4
944	6	4
945	6	4
946	6	4
947	6	4
948	6	4
949	6	4
950	6	4
951	6	4
952	6	4
953	6	4
954	6	4
955	6	4
956	6	4
957	6	4
958	6	4
959	6	4
960	6	4
961	6	4
962	6	4
963	6	4
964	6	4
965	6	4
966	6	4
967	6	4
968	6	4
969	6	4
970	6	4
971	6	4
972	6	4
973	6	4
974	6	4
975	6	4
976	6	4
977	6	4
978	6	4
979	6	4
980	6	4
981	6	4
982	6	4
983	6	4
984	6	4
985	6	4
986	6	4
987	6	4
988	6	4
989	6	4
990	6	4
991	6	4
992	6	4
993	5	3
994	5	3
995	5	3
996	5	3
997	5	3
998	5	3
999	5	3
1000	5	3
1001	5	3
1002	5	3
1003	5	3
1004	5	3
1005	5	3
1006	5	3
1007	5	3
1008	5	3
1009	5	3
1010	5	3
1011	5	3
1012	5	3
1013	5	3
1014	5	3
1015	6	2
1016	6	3
1017	6	3
1018	6	3
1019	6	3
