[[54, 7.9629629629629628, 46, 20.413043478260871], [((1, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[99, 3.0101010101010099, 1, 23.0], [((1, 3), 4.71238898038469), [0, 0, 100], 60]]
[[79, 15.544303797468354, 21, 22.142857142857142], [((1, 3), 5.497787143782138), [0, 0, 100], 60]]
[[82, 4.5609756097560972, 18, 22.833333333333332], [((1, 4), 0.0), [0, 0, 100], 60]]
[[44, 18.431818181818183, 56, 15.714285714285714], [((1, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[8, 17.125, 92, 5.8260869565217392], [((1, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[48, 12.5625, 52, 23.26923076923077], [((1, 4), 2.356194490192345), [0, 0, 100], 60]]
[[71, 3.9014084507042255, 29, 20.896551724137932], [((1, 4), 3.141592653589793), [0, 0, 100], 60]]
[[62, 12.870967741935484, 38, 30.94736842105263], [((1, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[84, 3.4285714285714284, 16, 20.5625], [((1, 4), 4.71238898038469), [0, 0, 100], 60]]
[[41, 10.975609756097562, 59, 21.135593220338983], [((1, 4), 5.497787143782138), [0, 0, 100], 60]]
[[66, 7.0606060606060606, 33, 17.515151515151516], [((1, 5), 0.0), [0, 0, 100], 60]]
[[39, 17.076923076923077, 60, 13.75], [((1, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[4, 13.75, 96, 5.010416666666667], [((1, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[53, 12.773584905660377, 47, 25.680851063829788], [((1, 5), 2.356194490192345), [0, 0, 100], 60]]
[[70, 6.5857142857142854, 30, 22.300000000000001], [((1, 5), 3.141592653589793), [0, 0, 100], 60]]
[[44, 12.704545454545455, 56, 24.571428571428573], [((1, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[87, 4.0, 13, 28.923076923076923], [((1, 5), 4.71238898038469), [0, 0, 100], 60]]
[[68, 12.176470588235293, 30, 11.933333333333334], [((1, 5), 5.497787143782138), [0, 0, 100], 60]]
[[60, 8.5833333333333339, 40, 26.899999999999999], [((2, 2), 0.0), [0, 0, 100], 60]]
[[8, 26.0, 92, 6.4565217391304346], [((2, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[62, 9.258064516129032, 38, 33.631578947368418], [((2, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[53, 16.471698113207548, 47, 30.148936170212767], [((2, 2), 2.356194490192345), [0, 0, 100], 60]]
[[88, 3.0113636363636362, 12, 17.75], [((2, 2), 3.141592653589793), [0, 0, 100], 60]]
[[100, 3.0, 0, nan], [((2, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[84, 3.0119047619047619, 16, 22.0], [((2, 2), 4.71238898038469), [0, 0, 100], 60]]
[[64, 19.8125, 33, 22.0], [((2, 2), 5.497787143782138), [0, 0, 100], 60]]
[[66, 6.0909090909090908, 34, 28.0], [((2, 3), 0.0), [0, 0, 100], 60]]
[[11, 24.09090909090909, 88, 6.0454545454545459], [((2, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[60, 9.1500000000000004, 40, 24.350000000000001], [((2, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[55, 10.199999999999999, 45, 31.111111111111111], [((2, 3), 2.356194490192345), [0, 0, 100], 60]]
[[88, 3.0340909090909092, 12, 13.666666666666666], [((2, 3), 3.141592653589793), [0, 0, 100], 60]]
[[79, 3.0759493670886076, 21, 16.0], [((2, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[99, 3.4141414141414139, 1, 9.0], [((2, 3), 4.71238898038469), [0, 0, 100], 60]]
[[66, 5.5757575757575761, 34, 30.529411764705884], [((2, 3), 5.497787143782138), [0, 0, 100], 60]]
[[77, 5.2337662337662341, 23, 23.347826086956523], [((2, 4), 0.0), [0, 0, 100], 60]]
[[17, 21.470588235294116, 83, 6.0481927710843371], [((2, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[43, 15.348837209302326, 57, 14.456140350877194], [((2, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[54, 8.4444444444444446, 46, 26.652173913043477], [((2, 4), 2.356194490192345), [0, 0, 100], 60]]
[[54, 6.166666666666667, 46, 19.304347826086957], [((2, 4), 3.141592653589793), [0, 0, 100], 60]]
[[49, 14.571428571428571, 51, 22.607843137254903], [((2, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[94, 3.9893617021276597, 6, 15.0], [((2, 4), 4.71238898038469), [0, 0, 100], 60]]
[[67, 5.8208955223880601, 33, 24.757575757575758], [((2, 4), 5.497787143782138), [0, 0, 100], 60]]
[[54, 5.5370370370370372, 46, 21.804347826086957], [((2, 5), 0.0), [0, 0, 100], 60]]
[[15, 20.666666666666668, 85, 5.6705882352941179], [((2, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[34, 18.235294117647058, 63, 12.80952380952381], [((2, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[52, 17.192307692307693, 44, 25.363636363636363], [((2, 5), 2.356194490192345), [0, 0, 100], 60]]
[[81, 4.0246913580246915, 19, 18.578947368421051], [((2, 5), 3.141592653589793), [0, 0, 100], 60]]
[[51, 11.843137254901961, 49, 27.73469387755102], [((2, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[73, 4.2465753424657535, 27, 24.111111111111111], [((2, 5), 4.71238898038469), [0, 0, 100], 60]]
[[58, 10.517241379310345, 42, 26.11904761904762], [((2, 5), 5.497787143782138), [0, 0, 100], 60]]
[[69, 6.2608695652173916, 31, 23.64516129032258], [((3, 3), 0.0), [0, 0, 100], 60]]
[[2, 24.5, 98, 5.3775510204081636], [((3, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[73, 9.6712328767123292, 27, 19.74074074074074], [((3, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[69, 5.8550724637681162, 31, 25.35483870967742], [((3, 3), 2.356194490192345), [0, 0, 100], 60]]
[[53, 4.3018867924528301, 47, 23.74468085106383], [((3, 3), 3.141592653589793), [0, 0, 100], 60]]
[[96, 3.6458333333333335, 4, 23.0], [((3, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[57, 4.666666666666667, 43, 23.790697674418606], [((3, 3), 4.71238898038469), [0, 0, 100], 60]]
[[70, 6.0999999999999996, 30, 27.199999999999999], [((3, 3), 5.497787143782138), [0, 0, 100], 60]]
[[65, 6.046153846153846, 35, 22.114285714285714], [((3, 4), 0.0), [0, 0, 100], 60]]
[[9, 19.777777777777779, 91, 5.1318681318681323], [((3, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[55, 13.127272727272727, 44, 28.068181818181817], [((3, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[50, 8.2400000000000002, 50, 28.140000000000001], [((3, 4), 2.356194490192345), [0, 0, 100], 60]]
[[82, 4.0609756097560972, 18, 21.833333333333332], [((3, 4), 3.141592653589793), [0, 0, 100], 60]]
[[57, 7.1403508771929829, 43, 27.744186046511629], [((3, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[79, 5.2405063291139244, 21, 18.047619047619047], [((3, 4), 4.71238898038469), [0, 0, 100], 60]]
[[42, 14.30952380952381, 57, 14.701754385964913], [((3, 4), 5.497787143782138), [0, 0, 100], 60]]
[[50, 12.34, 49, 24.979591836734695], [((3, 5), 0.0), [0, 0, 100], 60]]
[[7, 26.857142857142858, 93, 5.301075268817204], [((3, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[53, 13.962264150943396, 44, 29.045454545454547], [((3, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[54, 10.296296296296296, 46, 28.391304347826086], [((3, 5), 2.356194490192345), [0, 0, 100], 60]]
[[77, 4.0649350649350646, 23, 18.782608695652176], [((3, 5), 3.141592653589793), [0, 0, 100], 60]]
[[51, 10.411764705882353, 49, 30.0], [((3, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[75, 4.1600000000000001, 25, 25.359999999999999], [((3, 5), 4.71238898038469), [0, 0, 100], 60]]
[[56, 16.035714285714285, 44, 19.181818181818183], [((3, 5), 5.497787143782138), [0, 0, 100], 60]]
[[53, 8.433962264150944, 47, 27.936170212765958], [((4, 4), 0.0), [0, 0, 100], 60]]
[[0, nan, 100, 4.5300000000000002], [((4, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[53, 8.1509433962264151, 47, 22.340425531914892], [((4, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[56, 12.839285714285714, 44, 26.045454545454547], [((4, 4), 2.356194490192345), [0, 0, 100], 60]]
[[67, 4.8358208955223878, 33, 20.545454545454547], [((4, 4), 3.141592653589793), [0, 0, 100], 60]]
[[74, 4.2297297297297298, 26, 22.115384615384617], [((4, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[65, 4.0, 35, 24.114285714285714], [((4, 4), 4.71238898038469), [0, 0, 100], 60]]
[[50, 10.98, 50, 24.719999999999999], [((4, 4), 5.497787143782138), [0, 0, 100], 60]]
[[60, 9.7166666666666668, 40, 30.425000000000001], [((4, 5), 0.0), [0, 0, 100], 60]]
[[1, 25.0, 98, 4.0], [((4, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[57, 17.807017543859651, 42, 27.476190476190474], [((4, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[45, 11.488888888888889, 55, 22.690909090909091], [((4, 5), 2.356194490192345), [0, 0, 100], 60]]
[[57, 8.2807017543859658, 43, 26.697674418604652], [((4, 5), 3.141592653589793), [0, 0, 100], 60]]
[[54, 6.3888888888888893, 46, 23.608695652173914], [((4, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[58, 6.8275862068965516, 42, 25.11904761904762], [((4, 5), 4.71238898038469), [0, 0, 100], 60]]
[[51, 14.156862745098039, 49, 23.428571428571427], [((4, 5), 5.497787143782138), [0, 0, 100], 60]]
[[58, 13.551724137931034, 41, 28.146341463414632], [((5, 5), 0.0), [0, 0, 100], 60]]
[[0, nan, 100, 3.9700000000000002], [((5, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[56, 12.482142857142858, 44, 31.863636363636363], [((5, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[54, 13.833333333333334, 46, 25.978260869565219], [((5, 5), 2.356194490192345), [0, 0, 100], 60]]
[[60, 6.1500000000000004, 40, 24.925000000000001], [((5, 5), 3.141592653589793), [0, 0, 100], 60]]
[[77, 5.1818181818181817, 23, 25.0], [((5, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[69, 5.4347826086956523, 31, 22.870967741935484], [((5, 5), 4.71238898038469), [0, 0, 100], 60]]
[[52, 14.384615384615385, 48, 29.979166666666668], [((5, 5), 5.497787143782138), [0, 0, 100], 60]]
