[[0, nan, 0, nan], [((0, 1), 0.0), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [0, 100, 0], 60]]
[[91, 3.0, 9, 20.111111111111111], [((0, 2), 0.0), [0, 100, 0], 60]]
[[38, 18.236842105263158, 61, 17.967213114754099], [((0, 2), 0.7853981633974483), [0, 100, 0], 60]]
[[40, 18.5, 60, 12.199999999999999], [((0, 2), 1.5707963267948966), [0, 100, 0], 60]]
[[23, 21.086956521739129, 76, 7.5394736842105265], [((0, 2), 2.356194490192345), [0, 100, 0], 60]]
[[97, 3.0, 3, 26.333333333333332], [((0, 2), 3.141592653589793), [0, 100, 0], 60]]
[[40, 11.35, 59, 22.118644067796609], [((0, 2), 3.9269908169872414), [0, 100, 0], 60]]
[[95, 2.0526315789473686, 5, 30.199999999999999], [((0, 2), 4.71238898038469), [0, 100, 0], 60]]
[[46, 10.565217391304348, 54, 15.333333333333334], [((0, 2), 5.497787143782138), [0, 100, 0], 60]]
[[68, 3.0882352941176472, 32, 20.3125], [((0, 3), 0.0), [0, 100, 0], 60]]
[[49, 15.346938775510203, 49, 22.673469387755102], [((0, 3), 0.7853981633974483), [0, 100, 0], 60]]
[[14, 24.928571428571427, 86, 7.1046511627906979], [((0, 3), 1.5707963267948966), [0, 100, 0], 60]]
[[34, 17.411764705882351, 65, 10.384615384615385], [((0, 3), 2.356194490192345), [0, 100, 0], 60]]
[[67, 3.4626865671641789, 33, 28.454545454545453], [((0, 3), 3.141592653589793), [0, 100, 0], 60]]
[[57, 6.7894736842105265, 43, 23.837209302325583], [((0, 3), 3.9269908169872414), [0, 100, 0], 60]]
[[60, 3.0, 40, 13.574999999999999], [((0, 3), 4.71238898038469), [0, 100, 0], 60]]
[[66, 9.6969696969696972, 34, 21.941176470588236], [((0, 3), 5.497787143782138), [0, 100, 0], 60]]
[[86, 3.9883720930232558, 14, 22.714285714285715], [((0, 4), 0.0), [0, 100, 0], 60]]
[[46, 16.347826086956523, 48, 19.833333333333332], [((0, 4), 0.7853981633974483), [0, 100, 0], 60]]
[[14, 18.357142857142858, 85, 6.3176470588235292], [((0, 4), 1.5707963267948966), [0, 100, 0], 60]]
[[40, 17.375, 58, 14.431034482758621], [((0, 4), 2.356194490192345), [0, 100, 0], 60]]
[[84, 4.0119047619047619, 16, 20.4375], [((0, 4), 3.141592653589793), [0, 100, 0], 60]]
[[51, 9.3529411764705888, 49, 20.326530612244898], [((0, 4), 3.9269908169872414), [0, 100, 0], 60]]
[[78, 3.2948717948717947, 22, 19.59090909090909], [((0, 4), 4.71238898038469), [0, 100, 0], 60]]
[[67, 4.5970149253731343, 33, 24.333333333333332], [((0, 4), 5.497787143782138), [0, 100, 0], 60]]
[[65, 4.2923076923076922, 35, 20.942857142857143], [((0, 5), 0.0), [0, 100, 0], 60]]
[[50, 14.16, 50, 28.100000000000001], [((0, 5), 0.7853981633974483), [0, 100, 0], 60]]
