[[48, 8.4166666666666661, 52, 18.634615384615383], [((1, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[93, 3.010752688172043, 7, 17.0], [((1, 3), 4.71238898038469), [0, 0, 100], 60]]
[[64, 5.515625, 36, 28.583333333333332], [((1, 3), 5.497787143782138), [0, 0, 100], 60]]
[[86, 4.3837209302325579, 14, 26.785714285714285], [((1, 4), 0.0), [0, 0, 100], 60]]
[[49, 16.0, 51, 14.313725490196079], [((1, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[11, 25.454545454545453, 89, 5.3707865168539328], [((1, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[56, 13.267857142857142, 44, 24.09090909090909], [((1, 4), 2.356194490192345), [0, 0, 100], 60]]
[[69, 3.8695652173913042, 31, 23.35483870967742], [((1, 4), 3.141592653589793), [0, 0, 100], 60]]
[[76, 16.75, 24, 22.583333333333332], [((1, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[89, 7.4606741573033704, 11, 20.0], [((1, 4), 4.71238898038469), [0, 0, 100], 60]]
[[47, 11.914893617021276, 53, 23.0], [((1, 4), 5.497787143782138), [0, 0, 100], 60]]
[[56, 5.0892857142857144, 44, 20.25], [((1, 5), 0.0), [0, 0, 100], 60]]
[[46, 15.347826086956522, 54, 15.814814814814815], [((1, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[7, 20.0, 93, 5.010752688172043], [((1, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[56, 13.928571428571429, 44, 26.84090909090909], [((1, 5), 2.356194490192345), [0, 0, 100], 60]]
[[66, 4.0, 34, 18.852941176470587], [((1, 5), 3.141592653589793), [0, 0, 100], 60]]
[[55, 15.072727272727272, 45, 23.822222222222223], [((1, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[89, 4.01123595505618, 11, 32.090909090909093], [((1, 5), 4.71238898038469), [0, 0, 100], 60]]
[[53, 7.0377358490566042, 47, 21.76595744680851], [((1, 5), 5.497787143782138), [0, 0, 100], 60]]
[[61, 9.2295081967213122, 39, 27.794871794871796], [((2, 2), 0.0), [0, 0, 100], 60]]
[[5, 28.399999999999999, 94, 6.2872340425531918], [((2, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[69, 9.7971014492753632, 30, 31.733333333333334], [((2, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[57, 16.807017543859651, 41, 24.097560975609756], [((2, 2), 2.356194490192345), [0, 0, 100], 60]]
[[81, 3.0246913580246915, 19, 18.684210526315791], [((2, 2), 3.141592653589793), [0, 0, 100], 60]]
[[100, 3.0, 0, nan], [((2, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[85, 3.0235294117647058, 15, 19.933333333333334], [((2, 2), 4.71238898038469), [0, 0, 100], 60]]
[[55, 16.90909090909091, 43, 29.697674418604652], [((2, 2), 5.497787143782138), [0, 0, 100], 60]]
[[60, 6.0999999999999996, 40, 30.350000000000001], [((2, 3), 0.0), [0, 0, 100], 60]]
[[14, 19.071428571428573, 86, 6.2558139534883717], [((2, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[60, 8.6833333333333336, 40, 25.175000000000001], [((2, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[56, 11.017857142857142, 44, 26.977272727272727], [((2, 3), 2.356194490192345), [0, 0, 100], 60]]
[[92, 3.0434782608695654, 8, 14.625], [((2, 3), 3.141592653589793), [0, 0, 100], 60]]
[[69, 3.1304347826086958, 31, 18.193548387096776], [((2, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[97, 3.0412371134020617, 3, 14.0], [((2, 3), 4.71238898038469), [0, 0, 100], 60]]
[[60, 5.9333333333333336, 40, 30.475000000000001], [((2, 3), 5.497787143782138), [0, 0, 100], 60]]
[[77, 5.220779220779221, 23, 17.739130434782609], [((2, 4), 0.0), [0, 0, 100], 60]]
[[16, 25.8125, 84, 5.833333333333333], [((2, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[46, 14.391304347826088, 54, 20.444444444444443], [((2, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[66, 15.015151515151516, 34, 28.088235294117649], [((2, 4), 2.356194490192345), [0, 0, 100], 60]]
[[56, 5.0535714285714288, 44, 22.90909090909091], [((2, 4), 3.141592653589793), [0, 0, 100], 60]]
[[46, 13.652173913043478, 53, 22.490566037735849], [((2, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[90, 4.4111111111111114, 10, 14.800000000000001], [((2, 4), 4.71238898038469), [0, 0, 100], 60]]
[[70, 5.0142857142857142, 30, 27.800000000000001], [((2, 4), 5.497787143782138), [0, 0, 100], 60]]
[[56, 5.3214285714285712, 44, 20.954545454545453], [((2, 5), 0.0), [0, 0, 100], 60]]
[[19, 19.789473684210527, 80, 5.9749999999999996], [((2, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[39, 20.410256410256409, 60, 7.9833333333333334], [((2, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[51, 12.352941176470589, 49, 28.26530612244898], [((2, 5), 2.356194490192345), [0, 0, 100], 60]]
[[81, 4.0493827160493829, 19, 23.631578947368421], [((2, 5), 3.141592653589793), [0, 0, 100], 60]]
[[62, 11.580645161290322, 38, 26.710526315789473], [((2, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[88, 4.2727272727272725, 12, 25.083333333333332], [((2, 5), 4.71238898038469), [0, 0, 100], 60]]
[[61, 11.918032786885245, 39, 25.974358974358974], [((2, 5), 5.497787143782138), [0, 0, 100], 60]]
[[80, 10.5375, 20, 18.0], [((3, 3), 0.0), [0, 0, 100], 60]]
[[0, nan, 100, 5.1799999999999997], [((3, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[69, 6.6521739130434785, 31, 24.548387096774192], [((3, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[72, 5.875, 28, 28.321428571428573], [((3, 3), 2.356194490192345), [0, 0, 100], 60]]
[[59, 5.593220338983051, 41, 28.097560975609756], [((3, 3), 3.141592653589793), [0, 0, 100], 60]]
[[97, 3.7835051546391751, 3, 19.333333333333332], [((3, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[60, 3.8666666666666667, 40, 21.600000000000001], [((3, 3), 4.71238898038469), [0, 0, 100], 60]]
[[68, 6.6617647058823533, 32, 30.25], [((3, 3), 5.497787143782138), [0, 0, 100], 60]]
[[67, 11.044776119402986, 32, 16.875], [((3, 4), 0.0), [0, 0, 100], 60]]
[[9, 24.777777777777779, 91, 5.6263736263736268], [((3, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[52, 13.173076923076923, 48, 26.708333333333332], [((3, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[47, 7.7659574468085104, 53, 26.528301886792452], [((3, 4), 2.356194490192345), [0, 0, 100], 60]]
[[73, 4.0, 27, 20.666666666666668], [((3, 4), 3.141592653589793), [0, 0, 100], 60]]
[[58, 7.931034482758621, 42, 26.142857142857142], [((3, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[75, 4.0, 25, 14.68], [((3, 4), 4.71238898038469), [0, 0, 100], 60]]
[[41, 10.536585365853659, 59, 17.033898305084747], [((3, 4), 5.497787143782138), [0, 0, 100], 60]]
[[48, 10.5, 52, 22.442307692307693], [((3, 5), 0.0), [0, 0, 100], 60]]
[[9, 28.111111111111111, 90, 6.177777777777778], [((3, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[52, 13.423076923076923, 48, 26.416666666666668], [((3, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[52, 9.1730769230769234, 48, 27.020833333333332], [((3, 5), 2.356194490192345), [0, 0, 100], 60]]
[[71, 4.183098591549296, 29, 21.0], [((3, 5), 3.141592653589793), [0, 0, 100], 60]]
[[51, 11.352941176470589, 49, 25.816326530612244], [((3, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[72, 4.3055555555555554, 28, 24.607142857142858], [((3, 5), 4.71238898038469), [0, 0, 100], 60]]
[[51, 12.686274509803921, 49, 27.061224489795919], [((3, 5), 5.497787143782138), [0, 0, 100], 60]]
[[63, 7.3650793650793647, 37, 26.351351351351351], [((4, 4), 0.0), [0, 0, 100], 60]]
[[0, nan, 100, 4.4000000000000004], [((4, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[58, 12.258620689655173, 41, 30.560975609756099], [((4, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[62, 16.838709677419356, 37, 17.243243243243242], [((4, 4), 2.356194490192345), [0, 0, 100], 60]]
[[77, 6.883116883116883, 23, 23.260869565217391], [((4, 4), 3.141592653589793), [0, 0, 100], 60]]
[[68, 4.382352941176471, 32, 21.875], [((4, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[69, 4.0434782608695654, 31, 22.967741935483872], [((4, 4), 4.71238898038469), [0, 0, 100], 60]]
[[48, 14.895833333333334, 51, 20.470588235294116], [((4, 4), 5.497787143782138), [0, 0, 100], 60]]
[[53, 9.7924528301886795, 47, 28.723404255319149], [((4, 5), 0.0), [0, 0, 100], 60]]
[[4, 14.0, 96, 4.1875], [((4, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[59, 18.118644067796609, 40, 27.25], [((4, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[49, 13.36734693877551, 51, 26.196078431372548], [((4, 5), 2.356194490192345), [0, 0, 100], 60]]
[[54, 9.2592592592592595, 46, 24.391304347826086], [((4, 5), 3.141592653589793), [0, 0, 100], 60]]
[[78, 11.897435897435898, 22, 14.772727272727273], [((4, 5), 3.9269908169872414), [0, 0, 100], 60]]
